Time,Country Name,GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],Exports of goods and services (constant 2015 US$) [NE.EXP.GNFS.KD],"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],Net official aid received (constant 2018 US$) [DT.ODA.OATL.KD],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Net investment in nonfinancial assets (% of GDP) [GC.NFN.TOTL.GD.ZS],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]"
1995,Senegal,2.688232536,978.3107544,2517752176,,3.254475467,,57.404,,0.5006675359,7.113007286
1995,Sierra Leone,-7.875196759,421.2792745,71610282.6,,15.88760536,,37.083,,0.8368627931,33.59798913
1995,Solomon Islands,7.027442678,2560.01885,111640945,,8.691467671,,65.552,,0.4315196998,9.533407592
1995,Somalia,,,,,,,47.151,,,
1995,South Sudan,,,,,,,46.855,,,
1995,Sri Lanka,4.641628816,1548.549212,7215068225,94.6498206,0.3870535564,,69.259,3.368215499,0.429753548,9.30343963
1995,Sudan,3.228629651,870.2970091,24490975593,,0.04239746798,,56.709,,0.08676949651,104.5550287
1995,Syrian Arab Republic,2.838174572,,,,26.25181462,,71.961,,0.8774464731,6.684041319
1995,Tajikistan,-13.71739002,467.4290606,,,0.5679888775,,58.497,,0.8123209169,294.5307656
1995,Tanzania,0.584744476,479.31567,1925901427,,14.04669757,,49.287,,2.282237875,26.86195135
1995,Timor-Leste,,,,,,,53.538,,,
1995,Togo,5.149158932,476.2960486,826395576.5,,12.62685673,,54.757,,-0.5967167669,11.08421036
1995,Tunisia,0.5853089192,2179.328028,9092060573,57.51826787,2.798507363,,71.517,4.355551907,1.530549276,5.351095408
1995,Uganda,8.138094405,444.7661369,584154967.7,,19.50946075,,43.824,,2.105695143,9.37643764
1995,Ukraine,-11.50356962,1917.432564,51066265400,,2.548825395,421519989,66.74195122,,0.553772417,415.8098702
1995,Uzbekistan,-2.674535885,1071.684388,3385792098,,7.959168498,,66.396,,-0.1797689665,370.9439533
1995,Vanuatu,-1.418429411,2702.822075,,24.18345079,0.9388128131,,66.162,-0.05366150324,12.45117314,1.731938822
1995,Vietnam,7.699108894,729.5402794,10709485106,,7.395099899,,71.923,,8.585965855,17.04019542
1995,West Bank and Gaza,2.427689349,2189.267683,814235000,,0,,69.757,,3.734616791,7.784722821
1995,"Yemen, Rep.",1.306812229,2163.525442,,,41.92494135,,58.817,,-5.111782106,45.74334276
1995,Zambia,0.3314734656,741.7902647,,155.2792246,7.233363707,,44.242,,2.810562477,30.61112476
1995,Zimbabwe,-1.149555256,1576.086929,4884785694,,8.546617404,,50.48,,1.655119106,3.038538292
2000,Afghanistan,,,,,,,55.841,,,
2000,Algeria,2.399496544,3111.174196,43351695906,,24.3954281,,70.64,,0.5112211355,22.67797944
2000,Angola,-0.267956298,2451.509826,4698226838,,55.45007279,,46.522,4.668491504,9.623823976,418.0189915
2000,Bangladesh,3.257496507,653.80864,4929933025,,0.59407768,,65.447,,0.5253620892,3.44665935
2000,Belize,9.212350789,4278.050151,527663517.5,,0.2758287842,,68.847,9.661658499,3.553134273,0.4759426079
2000,Benin,2.745725782,905.8262726,1203033053,,3.398620856,,55.391,,-0.3634907593,4.341055664
2000,Bhutan,1.059276076,1108.439825,213907711.5,40.48037494,3.99150496,,60.884,23.46685364,,7.350196168
2000,Bolivia,0.5448545228,2059.185279,4242423267,60.10919786,3.984881991,,62.452,3.094255077,8.768250434,5.19540791
2000,Burkina Faso,-0.9664430187,440.028405,561637274.6,,5.355580307,,50.489,,0.7784582294,-0.8197731852
2000,Burundi,-2.593559293,306.5844789,56513314.35,,15.06093519,,49.091,,1.342151992,38.9448932
2000,Cabo Verde,12.223792,1974.088849,,,0.4144385888,,68.583,,6.342824223,-7.901103461
2000,Cambodia,7.561399459,485.8604712,1670392082,,2.453022248,,58.432,,3.237754226,-4.283226768
2000,Cameroon,0.8744467757,1055.690956,4872745064,,8.355999878,,50.993,,1.579852549,5.214816796
2000,Central African Republic,-4.696612815,460.3452087,,,11.20517669,,44.19,,0.09721975088,8.506601078
2000,Chad,-4.46365291,374.9696177,,,10.59982397,,47.713,,8.294696694,5.28980486
2000,Comoros,8.087708026,1189.721875,50088383.66,,1.403005176,,59.46,,0.02666658033,-4.460024513
2000,"Congo, Dem. Rep.",-9.255088418,350.8707653,2307887344,,7.546601872,,50.041,,0.4934522816,2630.122674
2000,"Congo, Rep.",4.514999989,2061.287272,5129803638,,57.99638372,,52.123,,-3.032841422,47.04008308
2000,Cote d'Ivoire,-4.580494213,1828.182116,,,4.613809181,,49.635,,2.184550936,2.245818787
2000,Djibouti,,,,,0.3820792681,,57.022,,0.5961294458,
2000,"Egypt, Arab Rep.",4.336347588,2610.476498,15894900276,,7.74053588,,68.602,,1.236997207,3.94440699
2000,El Salvador,0.3858769608,2979.959065,4538320255,27.37640894,0.4970773057,,68.875,1.530853685,1.471370927,3.274520865
2000,Eritrea,-5.465863683,,,,4.922254905,,55.273,,3.945534852,24.97759475
2000,Eswatini,0.6137635722,2472.132631,1378582899,,2.964676578,,47.49,,5.215923232,25.34294172
2000,Ethiopia,3.059110082,262.0253134,,,18.48526548,,51.941,,1.633506369,9.464718955
2000,"Gambia, The",2.250232431,728.7095958,,,2.2558455,,55.956,,5.558710413,2.216982613
2000,Ghana,1.190821343,1000.453655,,,13.69558679,,57.002,,3.329303379,27.23011389
2000,Guinea,0.1896086384,628.1550971,,,12.38468815,,51.203,,0.3319132329,6.30012396
2000,Guinea-Bissau,3.30564338,577.4856649,,,11.88633302,,50.368,,0.1892426192,80.89967647
2000,Haiti,-0.8548305089,1267.64015,245564545.7,,0.3466468883,,57.131,,0.1929049945,92.92799858
2000,Honduras,4.396736963,1790.364083,5005531792,,1.387868122,,70.689,,4.86983495,7.993446741
2000,India,2.021088595,757.6687472,88420788419,55.0042465,2.392593304,,62.505,0.1413626912,0.765212649,3.644970161
2000,Indonesia,3.482210606,1867.548796,80329830473,,9.84522754,,65.772,,-2.757439934,20.44745685
